Sentence length,Vocabulary size,Representation dimensionality,Disentanglement,Noise ratio,Compositionality
8,43,64,1,0.01,1.0165751983888511
8,43,64,1,0.01,1.0165417258985956
8,43,64,1,0.01,1.016570086348511
8,43,64,1,0.01,1.0166462640428398
8,43,64,1,0.01,1.0167167815264893
8,44,64,1,0.01,1.0163405941657888
8,44,64,1,0.01,1.016361302570745
8,44,64,1,0.01,1.0163643579298651
8,44,64,1,0.01,1.0163486616425916
8,44,64,1,0.01,1.0164729790949856
8,44,64,1,0.01,1.016380320591829
8,44,64,1,0.01,1.0162745403742421
8,44,64,1,0.01,1.016391531078078
8,44,64,1,0.01,1.0162706567134616
8,44,64,1,0.01,1.0163781042577806
8,45,64,1,0.01,1.016117602579857
8,45,64,1,0.01,1.0161687908994468
8,45,64,1,0.01,1.016048938194519
8,45,64,1,0.01,1.0160122313454052
8,45,64,1,0.01,1.01605711674595
8,45,64,1,0.01,1.016061525106395
8,45,64,1,0.01,1.0159907406282391
8,45,64,1,0.01,1.0160615572737606
8,45,64,1,0.01,1.0160476489788801
8,45,64,1,0.01,1.0161581689353023
8,46,64,1,0.01,1.0159099130420526
8,46,64,1,0.01,1.0159029276978595
8,46,64,1,0.01,1.0158164204172182
8,46,64,1,0.01,1.0158021169540665
8,46,64,1,0.01,1.0158450578861513
8,46,64,1,0.01,1.0159317002265906
8,46,64,1,0.01,1.015629784252166
8,46,64,1,0.01,1.015792767031177
8,46,64,1,0.01,1.0158360681864413
8,46,64,1,0.01,1.0158908422161597
8,47,64,1,0.01,1.0157461066618112
8,47,64,1,0.01,1.0156634393834802
8,47,64,1,0.01,1.0155154462577154
8,47,64,1,0.01,1.0155398534962639
8,47,64,1,0.01,1.0155557147861674
8,47,64,1,0.01,1.0156871207058387
8,47,64,1,0.01,1.0153786238393758
8,47,64,1,0.01,1.0156658592955217
8,47,64,1,0.01,1.0155359718522026
8,47,64,1,0.01,1.0156925631437452
8,48,64,1,0.01,1.015393327755657
8,48,64,1,0.01,1.0154580404583335
8,48,64,1,0.01,1.0153652884446922
8,48,64,1,0.01,1.0153811224629767
8,48,64,1,0.01,1.0154338093013582
8,48,64,1,0.01,1.015460836633406
8,48,64,1,0.01,1.0152208547142898
8,48,64,1,0.01,1.015321719877324
8,48,64,1,0.01,1.015326678682231
8,48,64,1,0.01,1.0154684584492213
8,49,64,1,0.01,1.0151673709222666
8,49,64,1,0.01,1.015127931943402
